BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BROOKLYN,NAVY YARD,02 TWO FAMILY HOMES,1,1450000,1450000,1450000,1450000,2022
BROOKLYN,NAVY YARD,03 THREE FAMILY HOMES,3,1100000,1920000,1625000,3035000,2022
BROOKLYN,OCEAN HILL,01 ONE FAMILY HOMES,7,560000,822143,750000,1205000,2022
BROOKLYN,OCEAN HILL,02 TWO FAMILY HOMES,76,400000,1159651,1040500,2500000,2022
BROOKLYN,OCEAN HILL,03 THREE FAMILY HOMES,43,343000,1080031,1085000,1850000,2022
BROOKLYN,OCEAN PARKWAY-NORTH,01 ONE FAMILY HOMES,70,275000,1587386,1390250,4392180,2022
BROOKLYN,OCEAN PARKWAY-NORTH,02 TWO FAMILY HOMES,82,617500,1711163,1600000,3600000,2022
BROOKLYN,OCEAN PARKWAY-NORTH,03 THREE FAMILY HOMES,19,587500,1951760,1500000,7711947,2022
BROOKLYN,OCEAN PARKWAY-SOUTH,01 ONE FAMILY HOMES,28,600000,2993446,1700000,14000000,2022
BROOKLYN,OCEAN PARKWAY-SOUTH,02 TWO FAMILY HOMES,88,350000,1631591,1225000,7300000,2022
BROOKLYN,OCEAN PARKWAY-SOUTH,03 THREE FAMILY HOMES,16,517000,1519562,1502500,3100000,2022
BROOKLYN,OLD MILL BASIN,01 ONE FAMILY HOMES,67,220441,622818,625000,925000,2022
BROOKLYN,OLD MILL BASIN,02 TWO FAMILY HOMES,37,250000,798686,793100,1250000,2022
BROOKLYN,OLD MILL BASIN,03 THREE FAMILY HOMES,7,905000,1054857,999000,1275000,2022
BROOKLYN,PARK SLOPE,01 ONE FAMILY HOMES,21,1800000,4904388,4225000,11700000,2022
BROOKLYN,PARK SLOPE,02 TWO FAMILY HOMES,65,581304,3700897,3700000,8120000,2022
BROOKLYN,PARK SLOPE,03 THREE FAMILY HOMES,23,600000,3230217,3050000,5925000,2022
BROOKLYN,PARK SLOPE SOUTH,01 ONE FAMILY HOMES,13,800000,2047935,2400000,3950000,2022
BROOKLYN,PARK SLOPE SOUTH,02 TWO FAMILY HOMES,35,1225000,2985643,2890000,5350000,2022
BROOKLYN,PARK SLOPE SOUTH,03 THREE FAMILY HOMES,8,1073000,2777472,2700000,4485000,2022
BROOKLYN,PROSPECT HEIGHTS,01 ONE FAMILY HOMES,6,200000,3468500,3705000,5751000,2022
BROOKLYN,PROSPECT HEIGHTS,02 TWO FAMILY HOMES,13,2219000,4250568,4210000,6390000,2022
